Date,Adj Close,Volume,Sentiments
24/4/17,280.892944,10077853,0
25/4/17,280.892944,11531902,1
26/4/17,281.285736,13836891,-1
27/4/17,276.965057,22622372,1
28/4/17,284.526215,14152004,-1
2/5/17,283.102356,9754789,1
3/5/17,284.575317,13950914,1
4/5/17,293.658569,24534923,-1
5/5/17,290.663544,34756331,1
8/5/17,294.002258,11560550,-1
9/5/17,291.154541,7843574,-1
10/5/17,289.141541,8699405,1
11/5/17,292.725677,11934889,-1
12/5/17,292.529297,13376269,1
15/5/17,295.966187,10383539,1
16/5/17,301.956238,17533439,1
17/5/17,302.103516,14120513,-1
18/5/17,297.488281,15471393,1
19/5/17,302.447235,55250969,-1
22/5/17,288.994202,35771221,-1
23/5/17,283.642456,19846852,-1
24/5/17,278.045227,16435958,1
25/5/17,284.869934,15018467,1
26/5/17,285.811249,12304394,-1
29/5/17,281.401947,10619968,1
30/5/17,286.207581,9643418,-1
31/5/17,285.662598,10697171,-1
1/6/17,284.820404,12186700,-1
2/6/17,284.424042,12004368,1
5/6/17,284.622223,7917410,1
6/6/17,284.671753,12346121,1
7/6/17,287.892029,10864355,-1
8/6/17,285.959869,8370299,-1
9/6/17,285.910309,10804887,-1
12/6/17,282.343262,10326846,-1
13/6/17,281.253326,9171049,1
14/6/17,281.600128,11566255,-1
15/6/17,281.401947,11925641,1
16/6/17,283.334137,19246907,1
19/6/17,286.207581,14848661,1
20/6/17,287.446167,14927701,1
21/6/17,288.238831,10537576,1
22/6/17,291.805908,26110402,-1
23/6/17,286.306671,20648597,-1
27/6/17,277.091736,25523129,-1
28/6/17,273.87146,17241351,-1
29/6/17,269.957611,30457363,1
30/6/17,271.146637,12235472,1
3/7/17,272.335663,8951033,-1
4/7/17,270.502594,7856082,1
5/7/17,272.385193,10048734,1
6/7/17,278.429382,16115817,-1
7/7/17,277.537628,5914038,1
10/7/17,282.937744,2095795,-1
11/7/17,280.956055,12400820,1
12/7/17,285.018555,7524835,1
13/7/17,286.10849,8434324,1
14/7/17,288.932434,13750192,1
17/7/17,290.319611,10549310,-1
18/7/17,288.337921,11913832,1
19/7/17,290.616852,9006728,-1
20/7/17,288.288391,6256500,-1
21/7/17,287.991119,7266604,1
24/7/17,291.855438,11195781,1
25/7/17,293.391266,10846999,-1
26/7/17,293.093994,12527914,1
27/7/17,295.620697,22286060,1
28/7/17,296.363831,15766196,1
31/7/17,309.641235,41547584,-1
1/8/17,306.173248,14888804,-1
2/8/17,304.885162,17005571,-1
3/8/17,297.800537,14459919,1
4/8/17,302.45755,9615344,1
7/8/17,308.353149,11420767,-1
8/8/17,300.872192,13578680,-1
9/8/17,299.534515,15852734,-1
10/8/17,293.985779,14519518,-1
11/8/17,277.587158,67652562,-1
14/8/17,275.655029,23773509,1
16/8/17,280.510193,21074533,-1
17/8/17,278.280762,12134114,-1
18/8/17,276.150452,12653217,-1
21/8/17,272.137482,9247153,-1
22/8/17,271.394348,11814388,1
23/8/17,276.447693,11317821,1
24/8/17,277.735779,14138226,-1
28/8/17,276.794495,10505317,-1
29/8/17,274.465973,10335964,-1
30/8/17,274.069641,7648702,1
31/8/17,275.209137,14222467,1
1/9/17,275.308228,8255209,-1
4/9/17,275.209137,7168751,-1
5/9/17,274.020081,9565430,-1
6/9/17,271.74115,7306781,-1
7/9/17,271.69162,16102724,-1
8/9/17,269.313538,7077895,-1
11/9/17,268.471344,14489224,1
12/9/17,270.948486,8375133,-1
13/9/17,270.898926,10150073,1
14/9/17,271.69162,8015217,-1
15/9/17,269.016296,18404860,-1
18/9/17,267.926361,17538678,-1
19/9/17,265.350128,14331316,1
20/9/17,267.579559,12355806,-1
21/9/17,266.043732,8509419,-1
22/9/17,259.45459,12860892,-1
25/9/17,256.382935,13937050,-1
26/9/17,255.887512,11728345,-1
27/9/17,248.109314,17080769,1
28/9/17,250.239655,17776419,1
29/9/17,251.527771,10073641,-1
3/10/17,249.001099,10547836,1
4/10/17,250.883713,14063896,-1
5/10/17,249.298355,13476692,1
6/10/17,254.40123,11932139,1
9/10/17,254.50032,8009211,1
10/10/17,254.599411,9742878,-1
11/10/17,249.446976,14192548,-1
12/10/17,248.902008,13404759,1
13/10/17,249.793777,15697555,-1
16/10/17,249.744232,12171830,-1
17/10/17,248.852463,13505216,-1
18/10/17,241.520157,20677891,-1
19/10/17,240.529312,3458869,1
23/10/17,243.700027,8901335,1
24/10/17,252.122269,17197805,1
25/10/17,321.927795,262677081,-1
26/10/17,317.568054,112804243,-1
27/10/17,308.204498,27580765,1
30/10/17,309.145813,28530254,-1
31/10/17,303.002502,16455750,1
1/11/17,316.924011,34907283,-1
2/11/17,311.474304,23110527,1
3/11/17,322.026886,26898400,1
6/11/17,325.990295,17143407,-1
7/11/17,314.298248,21883541,-1
8/11/17,306.718201,20242447,1
9/11/17,310.830261,21846178,1
10/11/17,330.498657,82984969,-1
13/11/17,328.021515,38777555,-1
14/11/17,326.089386,25647162,-1
15/11/17,321.977356,17389606,1
16/11/17,330.350037,22506014,1
17/11/17,334.412537,26518142,-1
20/11/17,329.953705,13507662,-1
21/11/17,327.625183,14189920,1
22/11/17,332.232635,22861716,-1
23/11/17,331.885864,13338423,-1
24/11/17,329.359192,11716981,1
27/11/17,332.579437,13114683,-1
28/11/17,328.96283,16054996,-1
29/11/17,325.891205,11264624,-1
30/11/17,317.419434,27276288,-1
1/12/17,309.888947,16425620,1
4/12/17,310.731171,13887727,1
5/12/17,316.180847,15130931,-1
6/12/17,309.542145,18658202,1
7/12/17,313.505554,12278558,-1
8/12/17,310.235748,16418832,1
11/12/17,315.487244,14014369,1
12/12/17,315.536804,17658856,-1
13/12/17,310.433899,17540585,1
14/12/17,311.127502,13894451,-1
15/12/17,309.393524,16050711,1
18/12/17,315.982666,32119915,1
19/12/17,316.874451,14741481,-1
20/12/17,314.59549,9895770,-1
21/12/17,313.852356,9916409,1
22/12/17,316.924011,13821639,-1
26/12/17,314.248688,9329690,-1
27/12/17,311.969727,14276027,-1
28/12/17,305.578735,20353152,1
29/12/17,307.065002,11939569,-1
1/1/18,304.290649,12182400,-1
2/1/18,300.475861,14797364,-1
3/1/18,300.079529,13857373,1
4/1/18,305.677826,24517099,-1
5/1/18,303.547485,14580575,-1
8/1/18,303.002502,13557197,-1
9/1/18,301.516235,15574755,-1
10/1/18,298.34552,13064599,1
11/1/18,299.435455,12298455,1
12/1/18,299.484985,17594228,1
15/1/18,299.831818,18189668,-1
16/1/18,293.440796,18040940,1
17/1/18,304.290649,26277307,-1
18/1/18,300.475861,40000111,1
19/1/18,306.420959,18461642,-1
22/1/18,303.696106,12622645,1
23/1/18,315.190002,35252217,1
24/1/18,326.88205,38070520,-1
25/1/18,310.285278,42466150,-1
29/1/18,309.244904,23600898,1
30/1/18,310.68161,25810404,-1
31/1/18,310.384369,16409938,-1
1/2/18,303.250214,19515991,-1
2/2/18,294.629822,23274673,1
5/2/18,295.323395,18940578,-1
6/2/18,289.081055,30577218,1
7/2/18,290.121429,21463818,1
8/2/18,298.642761,18932796,-1
9/2/18,293.688507,15750824,-1
12/2/18,286.10849,50839665,-1
14/2/18,273.673309,45641149,1
15/2/18,276.150452,26058237,-1
16/2/18,269.164917,30338112,-1
19/2/18,266.043732,43847791,1
20/2/18,267.183228,33458021,1
21/2/18,270.799835,23714454,-1
22/2/18,270.106232,25584062,1
23/2/18,273.524658,15482147,-1
26/2/18,271.939331,15306032,-1
27/2/18,265.151978,20824909,1
28/2/18,265.548309,26810799,-1
1/3/18,259.751831,22859175,1
5/3/18,261.089478,18484565,-1
6/3/18,254.203049,20778164,-1
7/3/18,244.393631,31262500,1
8/3/18,254.45076,33133336,-1
9/3/18,250.933258,21536191,-1
12/3/18,250.536926,25332474,1
13/3/18,252.36998,37647221,1
14/3/18,254.698486,25471485,-1
15/3/18,251.379135,18339890,-1
16/3/18,249.991943,25728297,-1
19/3/18,245.681732,18167594,1
20/3/18,246.821228,20556571,-1
21/3/18,245.731277,19533972,-1
22/3/18,239.340286,26828240,-1
23/3/18,232.652039,27150262,1
26/3/18,244.24501,30373940,1
27/3/18,252.023193,31205051,-1
28/3/18,247.613892,36673566,-1
2/4/18,243.898193,14993188,1
3/4/18,248.208405,19883309,-1
4/4/18,245.037689,18824449,1
5/4/18,256.927887,22880821,1
6/4/18,257.324249,24868860,1
9/4/18,258.265564,20208874,1
10/4/18,260.891296,21201141,-1
11/4/18,254.698486,14885838,-1
12/4/18,251.478226,18660913,-1
13/4/18,248.654297,25654020,-1
16/4/18,246.722137,16408377,-1
17/4/18,245.879898,15922452,-1
18/4/18,244.19545,16142387,-1
19/4/18,243.898193,13166927,-1
20/4/18,238.993484,15546939,1
23/4/18,240.232056,12111837,-1
24/4/18,238.398987,9486349,-1
25/4/18,235.030075,13124853,-1
26/4/18,231.066666,24495144,1
27/4/18,240.380692,31401889,1
30/4/18,244.145905,17263193,-1
2/5/18,238.795319,12887066,1
3/5/18,239.687073,12939642,1
4/5/18,239.736618,12777310,1
7/5/18,244.24501,15122614,1
8/5/18,247.762527,23293920,-1
9/5/18,245.731277,11429823,-1
10/5/18,245.681732,13160967,1
11/5/18,248.059784,11958589,1
14/5/18,251.28006,18673849,-1
15/5/18,245.731277,18026861,-1
